"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","g__Abiotrophia",NA,NA,NA,NA,NA
"2","g__Absconditabacteriales_(SR1)",NA,NA,NA,NA,NA
"3","g__Actinobacillus",38,FALSE,FALSE,TRUE,TRUE
"4","g__Actinomyces",0,FALSE,FALSE,FALSE,FALSE
"5","g__Aggregatibacter",32,FALSE,FALSE,FALSE,TRUE
"6","g__Alloprevotella",0,FALSE,FALSE,FALSE,FALSE
"7","g__Atopobium",31,FALSE,FALSE,FALSE,TRUE
"8","g__Bergeyella",0,FALSE,FALSE,FALSE,FALSE
"9","g__Bradyrhizobium",NA,NA,NA,NA,NA
"10","g__Burkholderia-Caballeronia-Paraburkholderia",0,FALSE,FALSE,FALSE,FALSE
"11","g__Campylobacter",0,FALSE,FALSE,FALSE,FALSE
"12","g__Capnocytophaga",39,FALSE,FALSE,TRUE,TRUE
"13","g__Cardiobacterium",40,FALSE,FALSE,TRUE,TRUE
"14","g__Catonella",30,FALSE,FALSE,FALSE,FALSE
"15","g__Clostridia_UCG-014",NA,NA,NA,NA,NA
"16","g__Corynebacterium",29,FALSE,FALSE,FALSE,FALSE
"17","g__Cutibacterium",29,FALSE,FALSE,FALSE,FALSE
"18","g__F0058 f__Paludibacteraceae",NA,NA,NA,NA,NA
"19","g__Fusobacterium",0,FALSE,FALSE,FALSE,FALSE
"20","g__Gemella",0,FALSE,FALSE,FALSE,FALSE
"21","g__Granulicatella",NA,NA,NA,NA,NA
"22","g__Haemophilus",0,FALSE,FALSE,FALSE,FALSE
"23","g__Kingella",31,FALSE,FALSE,FALSE,TRUE
"24","g__Lachnoanaerobaculum",37,FALSE,FALSE,TRUE,TRUE
"25","g__Lautropia",29,FALSE,FALSE,FALSE,FALSE
"26","g__Leptotrichia",0,FALSE,FALSE,FALSE,FALSE
"27","g__Neisseria",0,FALSE,FALSE,FALSE,FALSE
"28","g__Oribacterium",NA,NA,NA,NA,NA
"29","g__P5D1-392 o__Lactobacillales",NA,NA,NA,NA,NA
"30","g__Parvimonas",NA,NA,NA,NA,NA
"31","g__Peptostreptococcus",NA,NA,NA,NA,NA
"32","g__Porphyromonas",0,FALSE,FALSE,FALSE,FALSE
"33","g__Prevotella",0,FALSE,FALSE,FALSE,FALSE
"34","g__Pseudopropionibacterium",25,FALSE,FALSE,FALSE,FALSE
"35","g__Rothia",0,FALSE,FALSE,FALSE,FALSE
"36","g__Saccharimonadaceae",28,FALSE,FALSE,FALSE,FALSE
"37","g__Saccharimonadales",NA,NA,NA,NA,NA
"38","g__Selenomonas",0,FALSE,FALSE,FALSE,FALSE
"39","g__Solobacterium",NA,NA,NA,NA,NA
"40","g__Stomatobaculum",NA,NA,NA,NA,NA
"41","g__Streptococcus",0,FALSE,FALSE,FALSE,FALSE
"42","g__TM7a f__Saccharimonadaceae",NA,NA,NA,NA,NA
"43","g__Tannerella",NA,NA,NA,NA,NA
"44","g__Treponema",NA,NA,NA,NA,NA
"45","g__Unclassified c__Actinobacteria",0,FALSE,FALSE,FALSE,FALSE
"46","g__Unclassified f__Selenomonadaceae",30,FALSE,FALSE,FALSE,FALSE
"47","g__Unclassified o__Lactobacillales",0,FALSE,FALSE,FALSE,FALSE
"48","g__Veillonella",0,FALSE,FALSE,FALSE,FALSE
"49","g__[Eubacterium]_nodatum_group",NA,NA,NA,NA,NA
"50","g__uncultured f__Caulobacteraceae",NA,NA,NA,NA,NA
"51","g__uncultured f__Lachnospiraceae",NA,NA,NA,NA,NA
