"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"HSERMETANA-PWY",0.628865733400564,0.95117972223605,0.659846105068047,0.961119019952936
"ILEUSYN-PWY",0.679751173319259,0.951214461849756,0.711406081047178,0.961170820145997
"KDO-NAGLIPASYN-PWY",0.290484963671312,0.95117972223605,0.253040657983842,0.961119019952936
"KETOGLUCONMET-PWY",0.915849533439506,0.980336722167138,0.864823495121756,0.977183080764328
"LACTOSECAT-PWY",0.643416874067823,0.951453984207098,0.427550304398879,0.961119019952936
"LEU-DEG2-PWY",0.856603425872443,0.971487688626607,0.661244036922818,0.966135752594675
"LIPASYN-PWY",0.445826338483778,0.954812948387087,0.430375415945012,0.957270415970899
"MET-SAM-PWY",0.588157589774361,0.95117972223605,0.6519520893349,0.961119019952936
"METH-ACETATE-PWY",0.465553740027087,0.955447685160844,0.400667826958295,0.95675484840682
"METHGLYUT-PWY",0.437817212093318,0.955800185511901,0.318774708761945,0.943897643052555
"METHYLGALLATE-DEGRADATION-PWY",0.71673656704504,0.962745593920663,0.719828911431497,0.96922591222915
"NAD-BIOSYNTHESIS-II",0.587253553984904,0.95117972223605,0.70218892239849,0.961741084316797
"NADSYN-PWY",0.238019750085981,0.951298413709827,0.150937336636082,0.929461321208374
"NAGLIPASYN-PWY",0.60691373305663,0.95117972223605,0.660597938389381,0.961255907997528
"NONMEVIPP-PWY",0.347604209298222,0.95117972223605,0.386323124043801,0.961119019952936
"NONOXIPENT-PWY",0.658378785034158,0.95117972223605,0.660260556714293,0.961119019952936
"OANTIGEN-PWY",0.584602086656832,0.95117972223605,0.62928103153856,0.961119019952936
"ORNARGDEG-PWY",0.402412476143351,0.953021274591699,0.344043868549158,0.932952280537158
"P101-PWY",0.893073274018243,0.97760657176733,0.865568531541636,0.976858261357854
"P105-PWY",0.170584118835399,0.95117972223605,0.0258380263511226,0.864583303193996
"P108-PWY",0.878143549366686,0.976184700959475,0.836911849402148,0.972441162970821
"P122-PWY",0.360204283197216,0.95117972223605,0.342514117333592,0.961119019952936
"P124-PWY",0.330935486248671,0.95117972223605,0.319214561937505,0.961119019952936
"P125-PWY",0.51617665231842,0.95117972223605,0.434896739918974,0.961119019952936
"P161-PWY",0.313260838757543,0.95117972223605,0.402136675226565,0.961119019952936
"P162-PWY",0.635645562103874,0.95117972223605,0.582214061196342,0.961119019952936
"P163-PWY",0.735760476525592,0.951939534600315,0.798502684078625,0.969662517345183
"P164-PWY",0.245777399953262,0.95117972223605,0.0881954946175796,0.961119019952936
"P184-PWY",0.762920172932713,0.965997425075863,0.759204706602354,0.96961873395674
"P221-PWY",0.470368916271167,0.95117972223605,0.466624273550171,0.96117836588781
"P23-PWY",0.919556448753831,0.980809943553248,0.941652951008043,0.983545781251853
"P241-PWY",0.455285079817638,0.955300819659581,0.391520057039864,0.952031698397294
"P281-PWY",0.590709087387384,0.958871204701795,0.596441347064121,0.9651494297807
"P341-PWY",0.209190318790195,0.95117972223605,0.0989803105562598,0.854367116266911
"P381-PWY",0.471853835204486,0.951953679887345,0.565173358873526,0.962932315743364
"P4-PWY",0.608882710560543,0.95117972223605,0.613668022204452,0.961119019952936
"P42-PWY",0.717342781804238,0.95152202275572,0.775782157199814,0.967064987824567
"P441-PWY",0.424490923444896,0.95117972223605,0.499332922997347,0.961119019952936
"P461-PWY",0.201669619661846,0.95117972223605,0.179602641169047,0.961119019952936
"P562-PWY",0.157969515060111,0.95117972223605,0.123332911577071,0.961119019952936
"P621-PWY",0.705165777085007,0.964014027713211,0.723316875525578,0.970493414811365
"PANTO-PWY",0.6836129756699,0.95117972223605,0.706738771123021,0.961155851374069
"PANTOSYN-PWY",0.695090372651186,0.951312383456551,0.698871349272834,0.961119019952936
"PENTOSE-P-PWY",0.490778816413615,0.95117972223605,0.577119462250395,0.961119019952936
"PEPTIDOGLYCANSYN-PWY",0.613272472312243,0.95117972223605,0.613291987672304,0.961119019952936
"PHOSLIPSYN-PWY",0.623576104326001,0.95117972223605,0.646412643207256,0.961119019952936
"POLYAMINSYN3-PWY",0.468320570446188,0.95117972223605,0.356744630462477,0.961119019952936
"POLYAMSYN-PWY",0.802307709527055,0.960916316412388,0.674236033214207,0.961840980143713
"POLYISOPRENSYN-PWY",0.661701822831896,0.951184926323379,0.788783890425519,0.9678476989744
"PPGPPMET-PWY",0.162918137256106,0.95117972223605,0.103829265244359,0.961119019952936
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",0.303876851652392,0.95117972223605,0.24494088628244,0.961119019952936
"PRPP-PWY",0.689113733565314,0.951252443181737,0.699750551370498,0.961119019952936
"PWY-1269",0.575249930068252,0.95117972223605,0.617690408912404,0.961119019952936
"PWY-1422",0.368130437322034,0.953037266242145,0.295403366989846,0.926829371813904
"PWY-1541",0.545025177484476,0.957548819523586,0.468149872580679,0.9584956343769
"PWY-1622",0.485107193636701,0.955281134757749,0.392376478746385,0.949896763711223
"PWY-181",0.820112551944785,0.970648782187308,0.841004700258897,0.976534115262038
"PWY-1861",0.573270916749431,0.952727957881736,0.517403491278779,0.961919768242229
