"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"g__0319-6G20 c__Oligoflexia",0.500867004312124,0.961774966051576,0.51882297243307,0.961475473680592
"g__Abiotrophia",0.377069700296321,0.95630730699134,0.356866134907015,0.949819518213948
"g__Absconditabacteriales_(SR1)",0.597842722874757,0.973663443565586,0.611055681074823,0.968733660203186
"g__Acetobacter",0.507966939280432,0.964649376427504,0.524683420773869,0.958938646143266
"g__Acidovorax",0.523654598036317,0.959033872667702,0.50620727194082,0.947013064208451
"g__Acinetobacter",0.476040271677843,0.95725597791546,0.474882729079864,0.955455381153006
"g__Actinobacillus",0.673539954855602,0.977527534701561,0.690178456381657,0.974015936451646
"g__Actinomyces",0.800609483761747,0.983452425099949,0.792141008988754,0.979999569545398
"g__Aerococcus",0.520405366396005,0.955207445408039,0.50739974148909,0.952943007632277
"g__Aestuariimicrobium",0.48834012234407,0.956876943576517,0.523105771997112,0.955463814836856
"g__Aggregatibacter",0.669392686119753,0.976002243685724,0.624093532786587,0.969740201936647
"g__Alloprevotella",0.749720479519665,0.980878793213962,0.600874970696147,0.970656484026273
"g__Alloscardovia",0.50423028386956,0.967578853434892,0.514844306199268,0.959683658524676
"g__Altererythrobacter",0.486990099188513,0.961562594326612,0.469440573399642,0.955958632050465
"g__Alysiella",0.488708257493732,0.953594716022604,0.518390190077058,0.952422677731445
"g__Anaerococcus",0.486413279667397,0.949132584244152,0.471773230027145,0.939341642975429
"g__Anaeroglobus",0.51389596439969,0.957302651144574,0.505895785292379,0.957691567619799
"g__Anoxybacillus",0.444820929037796,0.956846801701842,0.460344282589503,0.95357009724715
"g__Arcicella",0.496464755329181,0.954128740217928,0.536511021872151,0.946108570033932
"g__Armatimonas",0.533980188500289,0.965876213461838,0.512277906946262,0.958956664208644
"g__Atopobium",0.731697743686436,0.979556308572877,0.684507093588399,0.975198161006765
"g__Atopococcus",0.509642373693584,0.963706836298509,0.497867264243329,0.959698872050969
"g__Babeliales",0.53634223731944,0.96640887699007,0.537427660218341,0.955676812208379
"g__Bacillus",0.512028445263378,0.956532247082335,0.564933612015613,0.963309409545516
"g__Bacteroides",0.467496464220693,0.954863714438504,0.502925591185983,0.95287498197943
"g__Bergeyella",0.723475032574778,0.981003245817518,0.748069477082285,0.978262635689899
"g__Bifidobacterium",0.469832788758686,0.954698696379971,0.47737823368767,0.945885743094588
"g__Bosea",0.500578334185582,0.962592980805844,0.475659773900053,0.950900457262029
"g__Brachymonas",0.489576834480468,0.957458975635281,0.483044145231691,0.955143706670264
"g__Bradyrhizobium",0.513174243442121,0.970999776118897,0.539346253830415,0.965725116057286
"g__Brevundimonas",0.520716479287281,0.964653910532361,0.471212029780126,0.949510085840582
"g__Bulleidia",0.503770569179454,0.959083726217208,0.484739205815883,0.949420182183533
"g__Burkholderia-Caballeronia-Paraburkholderia",0.492410777156067,0.971095356145504,0.498873335197694,0.963780533748775
"g__Butyrivibrio",0.521922867640731,0.960383702374967,0.483908742404007,0.9516611008844
"g__CL500-29_marine_group f__Ilumatobacteraceae",0.466337122847815,0.953805016399333,0.481790596757751,0.948910898393775
"g__Campylobacter",0.863843648736067,0.98561704321304,0.574312181319503,0.967812466561034
"g__Candidatus_Alysiosphaera",0.560636731156185,0.969459196246863,0.521449114716191,0.952720787480184
"g__Candidatus_Amesbacteria",0.53295775625324,0.968160302499136,0.540997769196387,0.957183768444953
"g__Candidatus_Kaiserbacteria",0.490626694959726,0.951852721218926,0.503735735590873,0.949024280957349
"g__Candidatus_Nomurabacteria",0.54905264575472,0.965635957161832,0.565772706977365,0.962301398050216
"g__Candidatus_Saccharimonas",0.531950814935326,0.969257817696324,0.530929859307374,0.96061030261941
"g__Candidatus_Zambryskibacteria",0.550182126157158,0.960304728503969,0.518988591658105,0.954681062862026
"g__Capnocytophaga",0.813749812415324,0.982896363706692,0.408079262199584,0.960185594803121
"g__Cardiobacterium",0.543739049182623,0.969642917818057,0.536546116885974,0.961483313528997
"g__Catonella",0.0824565625436085,0.842181061337777,0.0783463429050944,0.845530765973859
"g__Centipeda",0.520207310262195,0.965282943847285,0.518031724676696,0.965107801672471
"g__Chryseobacterium",0.516624510689119,0.957979827897264,0.531549040651381,0.952711149807338
"g__Cloacibacterium",0.498710832463671,0.960367465108831,0.501335861071955,0.956097718346549
"g__Clostridia_UCG-014",0.651988292995482,0.977587916840175,0.653821354461974,0.974084014596838
"g__Comamonas",0.458906237953452,0.945205958217698,0.433795677325548,0.949749605070269
"g__Corynebacterium",0.272462017760556,0.949854333394608,0.246189487743111,0.93475455084883
"g__Cutibacterium",0.492170647575857,0.965806747814999,0.535429334852464,0.963228227956576
"g__DEV007 o__Verrucomicrobiales",0.498095842845334,0.943496745266024,0.473617914145248,0.942324044562713
"g__Defluviitaleaceae_UCG-011",0.489775029899938,0.94371764275108,0.490754978603176,0.940136179762272
"g__Deinococcus",0.511446434527014,0.963587336786554,0.57102051188874,0.965071846394089
"g__Delftia",0.575984562544957,0.972094725140502,0.579549609857252,0.966721065044745
"g__Dermacoccus",0.558088129677336,0.95944134212073,0.549233503908054,0.961498831663491
"g__Desulfobulbus",0.482238840317491,0.961626567624589,0.500736819017558,0.961256271986937
"g__Devosia",0.437041176737682,0.955946021303213,0.404601042175893,0.939135412096337
"g__Dialister",0.586578890099634,0.970395611719003,0.615267134541295,0.964318960755704
"g__Dolosigranulum",0.491692153136796,0.951518400461506,0.471001271070635,0.940644353879319
"g__Edaphobaculum",0.490822081686066,0.957775274876214,0.481586865013594,0.951807565464536
"g__Eggerthia",0.467065281916129,0.940520442389956,0.455402913794069,0.941233494739254
"g__Eikenella",0.51988243263722,0.966162616551391,0.511269867090747,0.956638963712635
"g__Enhydrobacter",0.500581643879744,0.960793070220448,0.529460540838123,0.958205863156076
"g__Enterococcus",0.517270296576667,0.957531464928164,0.482039759419948,0.960434343712238
"g__Erysipelotrichaceae_UCG-006",0.525256436077732,0.951088988546108,0.469523911209566,0.947193838523134
"g__F0058 f__Paludibacteraceae",0.358612361976887,0.945269802370785,0.354905456235892,0.945328508706391
"g__F0332 f__Actinomycetaceae",0.541843654991954,0.970346417885591,0.571318518644803,0.967235060473288
"g__Filifactor",0.541979354097869,0.966565607438112,0.561744217408275,0.965058074374841
"g__Fimbriiglobus",0.477509793264626,0.959834654233406,0.435291780183874,0.952230262194356
"g__Flavisolibacter",0.477422188523314,0.955791797515416,0.502655914978875,0.951508464985865
"g__Flavobacterium",0.534371436320024,0.959413788309391,0.542832392401437,0.954599596068683
"g__Flexilinea",0.47781788332705,0.957639892034022,0.481888372157678,0.950100036198042
"g__Fretibacterium",0.539338427068698,0.962473982851614,0.563618986717539,0.961930201839392
"g__Fusobacterium",0.234307440437013,0.952328585159902,0.866248288494725,0.983246693258259
"g__Gardnerella",0.472485791594549,0.944811340917382,0.490526375044751,0.948249835562075
