"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"g__Abiotrophia",0.548510463429564,0.929406655794289,0.492430507547254,0.798037845413872
"g__Absconditabacteriales_(SR1)",0.678688632250809,0.940627465348057,0.63793584659818,0.857390587693611
"g__Acidovorax",0.412345979054085,0.904477649875194,0.343642362475308,0.693025288042508
"g__Acinetobacter",0.49001365649404,0.917754833742157,0.452944537333315,0.76445167590486
"g__Actinobacillus",0.730710858433673,0.951317575491489,0.715084671565209,0.898126576956565
"g__Actinomyces",0.803875345486644,0.954912070818175,0.844250815905963,0.938493086260478
"g__Aestuariimicrobium",0.475838608881711,0.914718271591185,0.427318544121966,0.749215455110244
"g__Aggregatibacter",0.689949176061835,0.941039857221343,0.59866193550418,0.845964553363887
"g__Alloprevotella",0.573341302516638,0.927931889050669,0.690844792648823,0.889937001995792
"g__Alloscardovia",0.441390342585831,0.913428158718457,0.407140334293396,0.746312420697382
"g__Alysiella",0.487535943523031,0.915716992045629,0.428638471549732,0.757714547074175
"g__Anaeroglobus",0.490799363677892,0.921130667244329,0.411837763052153,0.739777390076142
"g__Atopobium",0.581289103129426,0.932159551220083,0.524509991986373,0.813964229503516
"g__Atopococcus",0.451498845600956,0.913451367635778,0.395501073184141,0.720506617357908
"g__Bergeyella",0.581242831945827,0.927333692344899,0.487694298495625,0.808701798937591
"g__Bosea",0.54394087466314,0.926814370936165,0.465805089799366,0.778600143714411
"g__Bradyrhizobium",0.682590247868895,0.943405631701577,0.714075098574224,0.890883347398528
"g__Burkholderia-Caballeronia-Paraburkholderia",0.938036347284131,0.980208075860493,0.921539877995814,0.965537081611283
"g__Butyrivibrio",0.385705331394328,0.906716208716309,0.298926815811425,0.666072928546291
"g__Campylobacter",0.487950481954938,0.921839688309777,0.195102562168639,0.677785329425831
"g__Candidatus_Alysiosphaera",0.498328574229098,0.921268259044819,0.409362046242136,0.756464227944355
"g__Candidatus_Kaiserbacteria",0.524793195147503,0.922002631849167,0.459214837412467,0.765994638726692
"g__Candidatus_Nomurabacteria",0.438855185194973,0.905558973239996,0.371178415017502,0.713067334974169
"g__Candidatus_Saccharimonas",0.517247837179393,0.92001199133283,0.453644965713898,0.767777285057105
"g__Capnocytophaga",0.149413526818107,0.880487888357502,0.0339395255990254,0.415949850802044
"g__Cardiobacterium",0.0532311246535027,0.86028257919109,0.0187647900192274,0.361926974986618
"g__Catonella",0.469641804101708,0.917862103735821,0.393897596351796,0.741675660363458
"g__Centipeda",0.54181517993873,0.927861961000206,0.478210605795441,0.783898788038024
"g__Chryseobacterium",0.439680743404667,0.907815445675392,0.391377906170113,0.718810967731447
"g__Cloacibacterium",0.51935202174479,0.924612572475701,0.38085791820977,0.741258559258102
"g__Clostridia_UCG-014",0.633138738781332,0.93799745006406,0.59442041565574,0.846000408532264
"g__Comamonas",0.506787183246741,0.919516770955972,0.462916098704057,0.772120718536197
"g__Corynebacterium",0.243738941264099,0.895594036990321,0.192085220031086,0.64241180836055
"g__Cutibacterium",0.426646887223805,0.913956592959371,0.334040987377086,0.732053257571682
"g__Deinococcus",0.497632760048685,0.919303646667392,0.460312818709692,0.761667250161302
"g__Delftia",0.518215187330292,0.919490968684934,0.429884614809269,0.750467635889676
"g__Dermacoccus",0.446931284180372,0.903178846950841,0.407341189368942,0.742271593389066
"g__Devosia",0.558187682477839,0.919663116106838,0.457416397277291,0.770802022569935
"g__Dialister",0.446372652898984,0.913507778283204,0.370028479113792,0.729763154347889
"g__Dolosigranulum",0.457322581736171,0.914911937178289,0.411807102668958,0.736085003327057
"g__Eggerthia",0.414343428655842,0.909738802690944,0.367919294679077,0.714996586317615
"g__Eikenella",0.515591749610429,0.927180614561575,0.462698006484012,0.774855215637236
"g__Enterococcus",0.434234723222253,0.912086652432728,0.364353065683186,0.716784694866956
"g__F0058 f__Paludibacteraceae",0.467957930069857,0.918343663233444,0.456273181754254,0.780966146020144
"g__F0332 f__Actinomycetaceae",0.443885769487912,0.913585415831714,0.314330251050642,0.68667641370251
"g__Filifactor",0.490530106754263,0.920223761596077,0.423895349133405,0.756229376370728
"g__Fimbriiglobus",0.544159951666335,0.932368876649172,0.467797508688942,0.779628734379019
"g__Flavobacterium",0.454122165588609,0.907945643046949,0.39175533872715,0.722871902433293
"g__Fretibacterium",0.521955186512608,0.925722840590716,0.507388032255301,0.80642394899524
"g__Fusobacterium",0.299974078381901,0.904629488316914,0.207680302828284,0.682569079296066
"g__Gardnerella",0.472620356527342,0.91589983432706,0.432059156913495,0.754678889345818
"g__Gemella",0.233416957369385,0.8969196746639,0.0388560494487715,0.462922911376681
"g__Geobacillus",0.492244526924859,0.918815941147854,0.426944311928541,0.754959807347804
"g__Granulicatella",0.417015926047042,0.912430747763304,0.329227814874187,0.704443952066267
"g__Haemophilus",0.070085014295677,0.871129018500025,0.112492372383848,0.604775716478859
"g__Incertae_Sedis",0.532969891591364,0.925484259201305,0.472237067870125,0.78513267031574
"g__JGI_0000069-P22 c__Gracilibacteria",0.361423567937518,0.906738522668044,0.278689834231774,0.648600831147878
"g__Johnsonella",0.467962139918045,0.91593556876356,0.387339617279266,0.727201779038794
"g__Kingella",0.483759340508834,0.919976981135604,0.431203165567463,0.773957501336552
"g__Lachnoanaerobaculum",0.221170706850705,0.88991402499706,0.155130891381582,0.58198192486486
"g__Lactobacillus",0.383450967736289,0.909944401863847,0.264560494918354,0.662378533626853
"g__Lautropia",0.240564027268232,0.893968342291143,0.128778852205706,0.560737246936906
"g__Lentimicrobium",0.554385806607145,0.926286309207444,0.459921959327159,0.779351247392869
"g__Leptotrichia",0.685477218698063,0.941335233457215,0.778184399235945,0.917383163742854
