,chao1,shannon,simpson,simpson_e
1035,280.0,7.679225810237762,0.9945853148533591,0.6595819470028103
1072,303.0,7.642829767064679,0.9943282743059326,0.5818916871201059
1133,326.0,7.8853042869448835,0.9951310212138568,0.6300057563007901
1163,303.0,7.6347254413186185,0.9943796425523578,0.5872099886436642
1167,299.0,7.641817578867135,0.9943724812818927,0.594308392896119
1244,277.0,7.680629850787416,0.9946003412606529,0.6685808265886064
1314,333.0,7.683021008917633,0.9945216956407553,0.5481628631924106
1343,344.0,7.863796480888428,0.995021703107433,0.5839299678021229
1347,314.0,7.680465702450778,0.9944963575776264,0.5786555759599458
1351,327.0,7.520400611142682,0.9936337543133199,0.48036223011838347
1365,352.0,7.729506274228823,0.9946321259651166,0.529242875754409
1368,260.0,7.550415896334297,0.9940416717487356,0.6455088883929192
1380,350.0,7.695910629060023,0.9943715338004685,0.5076237034843876
1386,273.0,7.610489617446057,0.9942990024752513,0.6425197778287235
1431,258.0,7.587441927158708,0.9942401364084948,0.6729272196592384
1441,323.0,7.615265291547802,0.9941543277690739,0.52961834155174
1457,259.0,7.601256869417853,0.9943329894531951,0.6813122772783201
1466,243.0,7.531708250889755,0.9940767007554329,0.6947523951661014
1488,292.0,7.700338486700412,0.994632378511648,0.6380214293571655
1493,236.0,7.5452222189053595,0.9942129222760239,0.7321982419620735
1496,268.0,7.648201409305961,0.9944458399996222,0.67181054980921
1512,236.0,7.385473982468788,0.9933894220229293,0.6409860303124159
1552,274.0,7.616790229091374,0.9943366582634892,0.6444313633711426
1560,262.0,7.649143003186956,0.9944180307709367,0.6837719336138782
1574,278.0,7.520157304470517,0.9939403103673569,0.5936149407357102
1585,261.0,7.1011340041741216,0.9918229923684038,0.4685598689814548
1607,318.0,7.645636382970202,0.9943015387829037,0.5518426761624505
1608,293.0,7.709286650965582,0.994595434765912,0.6314974721278068
1630,273.0,7.4489312140463815,0.9933799318246079,0.553318117873723
1639,317.0,7.530307612325321,0.993883738516817,0.5157683563997063
1650,290.0,7.641684081063843,0.9943924595992721,0.6149355360188581
1655,339.0,7.84176446930327,0.99502710950187,0.5931867006691318
1661,293.0,7.480297442153404,0.9935887979452256,0.5323446764144318
1667,233.0,7.374750320380134,0.9932605990472728,0.6368289294058843
1730,315.0,7.58135518522616,0.9941604673746973,0.5436399414651113
1758,325.0,7.53124193131169,0.9934562393868852,0.47020715744955843
1774,267.0,7.607179028508033,0.994228757953603,0.6489622722370753
1799,263.0,7.544363373015603,0.9940950650856295,0.6439158812009715
1806,335.0,7.694855524700982,0.994588483550438,0.5516151811951554
1818,339.0,7.7257456762587955,0.9946180486026404,0.5481009190870466
1822,320.0,7.643258588728253,0.9943286224113548,0.5510125099511314
1825,321.0,7.557085071084211,0.9940978297319539,0.5278168294082647
1864,253.0,7.435220896943627,0.9933425962080252,0.5937102951040922
1871,311.0,7.641804390041578,0.9943733278235213,0.5714628438889335
1876,340.0,7.682229002997591,0.99447127595935,0.5319810590948669
1913,348.0,7.583556458123356,0.9939838859269139,0.4776444035936852
1972,252.0,7.583590501481999,0.9943038450325711,0.6966548471635329
1973,275.0,7.613567522335196,0.994282347726737,0.6359889448625752
2024,270.0,7.620168233707502,0.9943690817016843,0.6577441737720628
2028,331.0,7.986664042359564,0.9954521374436566,0.6643006464739842
2074,315.0,7.43865610885347,0.9933875834639032,0.4800972771865157
2088,325.0,7.798644569803658,0.9947756586479691,0.5889590418373004
2104,313.0,7.679510611666599,0.9944537523748366,0.5760449938114007
2108,263.0,7.589920846322293,0.9941808332513808,0.6534064984000602
2118,271.0,7.6188581981659125,0.9943839960703444,0.657057392870323
2137,276.0,7.619923381325907,0.994305455837905,0.6362560905075318
3003,298.0,7.582184113529683,0.9940960790204805,0.5683857744077885
3011,334.0,7.678118372204022,0.9944332676138878,0.5378401130827339
3012,322.0,7.591978789285743,0.9940955705911984,0.5259763216886513
3021,312.0,7.719354458415407,0.9946648704898323,0.6007592128775604
3022,296.0,7.637637686264171,0.9943519939862048,0.5981541751419377
3024,264.0,7.521532508538974,0.9939208715492469,0.6230956984318221
3031,334.0,7.63332357092157,0.9943518255829678,0.5300849008875059
3036,287.0,7.643049028823926,0.9944404276804053,0.6267245675015034
3040,265.0,7.642426378825614,0.9945369419011243,0.6907458857955405
3046,306.0,7.578661163048833,0.9941075614764397,0.5546046586896997
3048,295.0,7.47271876374452,0.993625543659637,0.5317834694403901
3049,293.0,7.568234699129047,0.99415338576592,0.583751406648698
3052,294.0,7.251272947071907,0.9924250154791104,0.4490254118457608
3053,308.0,7.731904174116023,0.9945750672267165,0.5984872776198664
3059,300.0,7.614126396675651,0.9942639751356035,0.5811225390641718
3060,314.0,7.594117887006147,0.9940830717768973,0.5382376219068208
3063,311.0,7.605049324040779,0.9942142534525653,0.5557509402182402
3068,289.0,7.596121151617317,0.9941236378524931,0.5888349842299593
3073,300.0,7.632466300385214,0.9942683969423587,0.5815708624290372
3080,296.0,7.58509437104343,0.9941855431580617,0.5810307772879038
3086,296.0,7.67902675636726,0.9945414599472421,0.6189161104847862
3087,264.0,7.558946118603415,0.9941536498364105,0.6479048777251342
3090,302.0,7.674992993442953,0.9945017047941422,0.6022336295471972
3128,283.0,7.470365640063603,0.9936796565127881,0.5590786183920518
3162,303.0,7.650197555942305,0.9944449297761542,0.5941113073307781
3173,291.0,7.670007633683581,0.9945049504223891,0.6253676274077412
3191,332.0,7.628455704155494,0.9941801522653316,0.5175475940424589
3201,258.0,7.58272313531476,0.9942294579824622,0.6716819634045177
3213,298.0,7.5247641569021235,0.9937564382882321,0.53746640986374
3217,298.0,7.618827913655839,0.9942677159153981,0.5854044650370186
3222,314.0,7.564474926100439,0.9939689504591906,0.5280529291372376
8223,312.0,7.554783801420559,0.9938454149656145,0.5207708053786276
8288,269.0,7.609688226278172,0.9943642342611904,0.6596214766982688
8876,314.0,7.621226371014801,0.9940977803218517,0.5395789295316981
