sample-id,reads-raw,unique-reads-derep,reads-derep,unique-reads-deblur,reads-deblur,unique-reads-hit-artifact,reads-hit-artifact,unique-reads-chimeric,reads-chimeric,unique-reads-hit-reference,reads-hit-reference,unique-reads-missed-reference,reads-missed-reference
1035,26221,158,630,69,288,0,0,2,3,67,285,0,0
1072,26482,240,1088,86,546,0,0,1,2,85,544,0,0
1133,25774,282,1599,42,695,0,0,0,0,42,695,0,0
1163,28851,259,1278,73,528,0,0,17,48,56,480,0,0
1167,30323,256,1317,69,567,0,0,7,14,62,553,0,0
1244,27919,142,563,61,306,0,0,2,4,59,302,0,0
1314,22271,234,1139,94,522,0,0,4,8,90,514,0,0
1343,22209,238,1183,50,569,0,0,0,0,50,569,0,0
1347,15183,143,750,51,409,0,0,0,0,51,409,0,0
1351,21248,235,1249,61,562,0,0,2,4,59,558,0,0
1365,38177,412,2127,90,892,0,0,9,20,81,872,0,0
1368,34526,373,2189,82,1007,0,0,20,58,62,949,0,0
1380,40466,414,2684,83,1236,0,0,3,6,80,1230,0,0
1386,25345,225,1057,63,480,0,0,10,20,53,460,0,0
1431,39294,330,1592,82,637,0,0,29,63,53,574,0,0
1441,19153,172,799,54,389,0,0,0,0,54,389,0,0
1457,28065,275,1426,58,560,0,0,17,40,41,520,0,0
1466,23072,190,844,50,417,0,0,17,42,33,375,0,0
1488,17347,134,562,74,336,0,0,5,7,69,329,0,0
1493,41486,394,2013,85,842,0,0,50,126,35,716,0,0
1496,34438,274,1319,98,546,0,0,20,40,78,506,0,0
1512,26587,261,1436,45,592,0,0,18,54,27,538,0,0
1552,28673,251,1274,73,599,0,0,30,72,43,527,0,0
1560,33089,185,963,67,377,0,0,2,4,65,373,0,0
1574,33928,274,1403,67,522,0,0,3,5,64,517,0,0
1585,27701,303,1912,40,726,0,0,14,32,26,694,0,0
1607,17833,164,657,69,342,0,0,2,3,67,339,0,0
1608,30953,267,1203,110,624,0,0,18,33,92,591,0,0
1630,21189,164,760,39,302,0,0,3,7,36,295,0,0
1639,44283,495,3010,95,1184,0,0,19,51,76,1133,0,0
1650,56785,610,3457,114,1384,0,0,41,84,73,1300,0,0
1655,36170,350,2058,92,1015,0,0,1,1,91,1014,0,0
1661,34326,311,1530,67,559,0,0,16,32,51,527,0,0
1667,40020,394,2014,56,618,0,0,22,88,34,530,0,0
1730,33931,415,2496,77,949,0,0,15,33,62,916,0,0
1758,41437,746,5516,53,2233,0,0,0,0,53,2233,0,0
1774,40875,482,2843,84,910,0,0,10,18,74,892,0,0
1799,43428,481,2693,85,780,0,0,36,97,49,683,0,0
1806,42558,509,2644,131,1309,0,0,19,41,112,1268,0,0
1818,48779,564,2924,131,1189,0,0,11,22,120,1167,0,0
1822,45004,427,1864,166,939,0,0,18,32,148,907,0,0
