sample-id,reads-raw,unique-reads-derep,reads-derep,unique-reads-deblur,reads-deblur,unique-reads-hit-artifact,reads-hit-artifact,unique-reads-chimeric,reads-chimeric,unique-reads-hit-reference,reads-hit-reference,unique-reads-missed-reference,reads-missed-reference
1035,26221,629,3828,182,2037,0,0,8,15,174,2022,0,0
1072,26482,741,4632,175,2527,0,0,2,3,173,2524,0,0
1133,25774,639,4932,48,2475,0,0,0,0,48,2475,0,0
1163,28851,830,6082,135,2803,0,0,13,26,121,2775,1,2
1167,30323,870,5811,124,2818,0,0,9,27,115,2791,0,0
1244,27919,556,3037,130,1523,0,0,5,9,125,1514,0,0
1314,22271,642,4063,174,2264,0,0,3,5,171,2259,0,0
1343,22209,617,4434,99,2608,0,0,1,2,98,2606,0,0
1347,15183,420,2751,75,1571,0,0,0,0,75,1571,0,0
1351,21248,651,4670,141,2461,0,0,3,6,138,2455,0,0
1365,38177,1101,8680,156,4345,0,0,1,1,155,4344,0,0
1368,34526,1051,8014,120,3935,0,0,12,27,108,3908,0,0
1380,40466,1166,11115,129,6132,0,0,4,9,124,6121,1,2
1386,25345,741,4934,106,2532,0,0,4,8,102,2524,0,0
1431,39294,1065,7843,126,3738,0,0,35,77,91,3661,0,0
1441,19153,548,3778,96,2027,0,0,1,1,95,2026,0,0
1457,28065,879,6288,87,3097,0,0,27,81,60,3016,0,0
1466,23072,684,4797,68,2230,0,0,13,44,55,2186,0,0
1488,17347,453,2748,229,1866,0,0,5,7,224,1859,0,0
1493,41486,1300,9998,95,4477,0,0,44,163,51,4314,0,0
1496,34438,957,6653,163,3352,0,0,33,67,130,3285,0,0
1512,26587,813,6014,47,2711,0,0,4,15,43,2696,0,0
1552,28673,856,6542,109,3193,0,0,20,44,89,3149,0,0
1560,33089,718,4564,157,2433,0,0,12,24,143,2405,2,4
1574,33928,1021,7092,146,3155,0,0,8,13,137,3138,1,4
1585,27701,835,6755,36,2804,0,0,8,25,28,2779,0,0
1607,17833,516,2915,168,1581,0,0,3,5,164,1574,1,2
1608,30953,846,5617,245,3501,0,0,21,38,223,3461,1,2
1630,21189,512,3293,101,1525,0,0,4,6,97,1519,0,0
1639,44283,1235,10007,158,4692,0,0,6,9,152,4683,0,0
1650,56785,1629,12797,165,6334,0,0,33,88,132,6246,0,0
1655,36170,943,7142,133,4177,0,0,0,0,133,4177,0,0
1661,34326,1004,7161,122,3000,0,0,11,23,111,2977,0,0
1667,40020,1227,9553,71,3645,0,0,21,66,50,3579,0,0
1730,33931,900,6944,142,3569,0,0,15,41,127,3528,0,0
1758,41437,1235,12790,74,6523,0,0,0,0,74,6523,0,0
1774,40875,1271,9803,153,4781,0,0,10,49,143,4732,0,0
1799,43428,1333,10353,122,4158,0,0,24,86,98,4072,0,0
1806,42558,1189,8990,205,4963,0,0,10,24,195,4939,0,0
1818,48779,1482,11122,249,5552,0,0,4,14,245,5538,0,0
1822,45004,1313,8442,346,4493,0,0,26,48,320,4445,0,0
1825,43745,1251,9762,120,4561,0,0,12,41,108,4520,0,0
1864,29504,851,7017,108,3465,0,0,20,38,88,3427,0,0
1871,46205,1438,12193,127,5397,0,0,14,33,113,5364,0,0
1876,22637,572,3288,153,1786,0,0,2,14,151,1772,0,0
1913,34626,883,5900,177,2916,0,0,5,10,172,2906,0,0
1972,43391,1139,9278,88,4135,0,0,21,49,67,4086,0,0
1973,43756,1180,8406,127,4113,0,0,11,25,116,4088,0,0
2024,77632,2253,19063,175,8876,0,0,41,125,134,8751,0,0
2028,50885,1436,13302,29,6368,0,0,0,0,29,6368,0,0
2074,30331,836,5719,85,2323,0,0,1,3,84,2320,0,0
