feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.1.12.1.2	Time_to_progression_grouped	>6	0.0053670903506908	0.00122208352079473	90	19	3.29382699912804e-05	0.345456575668549
EC.1.1.1.34	Time_to_progression_grouped	3<4	0.00427625273852732	0.00109199501795268	90	30	0.000183931825367577	0.672162982373955
EC.2.7.13.1	Time_to_progression_grouped	>6	0.00315716853021386	0.00082200690414279	90	17	0.00023886768731466	0.672162982373955
EC.4.1.3.16	Time_to_progression_grouped	>6	0.00228780453140752	0.000597752101065659	90	12	0.000256355065741401	0.672162982373955
EC.1.14.99.48	Time_to_progression_grouped	>6	0.00494438842820038	0.00143492210327041	90	14	0.000895878216788158	0.994095598024375
EC.2.1.1.10	Time_to_progression_grouped	3<4	0.00997361837759098	0.00304077187875607	90	90	0.00151873832394813	0.994095598024375
EC.2.1.3.11	Time_to_progression_grouped	>6	0.00702590590824845	0.00199387524790474	90	56	0.000694968177120104	0.994095598024375
EC.2.3.1.39	Time_to_progression_grouped	3<4	-0.0025749577480228	0.000790713694740605	90	90	0.00163434246222675	0.994095598024375
EC.2.6.1.85	Time_to_progression_grouped	3<4	-0.0111147336539315	0.00321244738219584	90	90	0.00085578725645681	0.994095598024375
EC.2.7.1.175	Time_to_progression_grouped	3<4	0.00862714662633482	0.00259105543102802	90	72	0.00129903658498911	0.994095598024375
EC.2.7.7.15	Time_to_progression_grouped	3<4	0.00787932722274379	0.00242986522086589	90	80	0.00170611372658646	0.994095598024375
EC.3.2.1.22	Time_to_progression_grouped	NP	0.00924768036162834	0.00276573377031761	90	90	0.00124238561613545	0.994095598024375
EC.3.2.1.45	Time_to_progression_grouped	>6	0.00879657491617245	0.00266490881346834	90	74	0.00142312061919121	0.994095598024375
EC.3.5.1.26	Time_to_progression_grouped	>6	0.00515327708743626	0.00156702387682363	90	35	0.00147826103132553	0.994095598024375
EC.3.5.3.6	Time_to_progression_grouped	3<4	0.0105103481216654	0.00319332101774762	90	89	0.00146542589571486	0.994095598024375
EC.3.5.4.2	Time_to_progression_grouped	>6	0.00782762914594393	0.0022550451299015	90	90	0.000825065205549767	0.994095598024375
EC.3.6.3.40	Time_to_progression_grouped	3<4	0.00538114053684198	0.00164593915718226	90	90	0.00157317998556572	0.994095598024375
EC.5.1.3.7	Time_to_progression_grouped	>6	0.00578814430822484	0.00173429036709227	90	81	0.00126701324783088	0.994095598024375
EC.1.1.1.1	Time_to_progression_grouped	>6	0.00203015394178245	0.00472122221702229	90	90	0.668305655882323	1
EC.1.1.1.1	Time_to_progression_grouped	1<2	0.00601687058486654	0.00445121099352673	90	90	0.180131552657528	1
EC.1.1.1.1	Time_to_progression_grouped	2<3	0.00327780729967014	0.00445121099352673	90	90	0.463572355046124	1
EC.1.1.1.1	Time_to_progression_grouped	3<4	0.00294657395980113	0.00426171006754551	90	90	0.491239552229547	1
EC.1.1.1.1	Time_to_progression_grouped	4<6	0.00174617627703421	0.00445121099352673	90	90	0.695847735823527	1
EC.1.1.1.1	Time_to_progression_grouped	NP	0.00453447022992063	0.00327600258836647	90	90	0.170023876046693	1
EC.1.1.1.100	Time_to_progression_grouped	>6	0.00696500294066595	0.00363583205821949	90	90	0.058852257642931	1
EC.1.1.1.100	Time_to_progression_grouped	1<2	-0.000309215613883382	0.00342789533816326	90	90	0.928341104896725	1
EC.1.1.1.100	Time_to_progression_grouped	2<3	0.00153326030833425	0.00342789533816326	90	90	0.655831434681605	1
EC.1.1.1.100	Time_to_progression_grouped	3<4	0.00549398951073492	0.00328195991930908	90	90	0.0978959206234598	1
EC.1.1.1.100	Time_to_progression_grouped	4<6	0.000670149356742525	0.00342789533816326	90	90	0.845480300978562	1
EC.1.1.1.100	Time_to_progression_grouped	NP	0.00275264321187287	0.00252286265845483	90	90	0.278395249474306	1
EC.1.1.1.102	Time_to_progression_grouped	>6	0.000326247946079979	0.000336875360291664	90	10	0.335696131232458	1
EC.1.1.1.102	Time_to_progression_grouped	1<2	-2.18097640407353e-05	0.000317609135569196	90	10	0.945422383563262	1
EC.1.1.1.102	Time_to_progression_grouped	2<3	-4.17487346778803e-05	0.000317609135569196	90	10	0.895747179276991	1
EC.1.1.1.102	Time_to_progression_grouped	3<4	0.000128847607086198	0.000304087596065006	90	10	0.672892115166243	1
EC.1.1.1.102	Time_to_progression_grouped	4<6	-0.000107722077177241	0.000317609135569196	90	10	0.735361265057596	1
EC.1.1.1.102	Time_to_progression_grouped	NP	0.000159377349855569	0.000231294857253308	90	10	0.492855840329834	1
EC.1.1.1.103	Time_to_progression_grouped	>6	0.00631013575018395	0.00277843188724562	90	67	0.0257290851682807	1
EC.1.1.1.103	Time_to_progression_grouped	1<2	0.000433611501679501	0.00261953070471509	90	67	0.868929187765466	1
EC.1.1.1.103	Time_to_progression_grouped	2<3	0.00175566667443324	0.00261953070471509	90	67	0.504576921666026	1
EC.1.1.1.103	Time_to_progression_grouped	3<4	0.00270002003107018	0.00250800970629429	90	67	0.284796640145096	1
EC.1.1.1.103	Time_to_progression_grouped	4<6	0.00148246583838099	0.00261953070471509	90	67	0.572969608275073	1
EC.1.1.1.103	Time_to_progression_grouped	NP	0.00246326279469574	0.00192792239717058	90	67	0.204925324919959	1
EC.1.1.1.107	Time_to_progression_grouped	>6	2.21825923343011e-19	0.000870590660002347	90	11	1	1
EC.1.1.1.107	Time_to_progression_grouped	1<2	1.99844397910188e-19	0.000820800745767108	90	11	1	1
EC.1.1.1.107	Time_to_progression_grouped	2<3	0.000189365356247074	0.000820800745767109	90	11	0.818109328920989	1
EC.1.1.1.107	Time_to_progression_grouped	3<4	0.000340921954339563	0.000785856884064048	90	11	0.665543294509776	1
EC.1.1.1.107	Time_to_progression_grouped	4<6	0.000803449141511479	0.000820800745767109	90	11	0.33049364455766	1
EC.1.1.1.107	Time_to_progression_grouped	NP	0.000333827374933772	0.000604092992126555	90	11	0.582016207601818	1
EC.1.1.1.108	Time_to_progression_grouped	>6	0.00194306421606818	0.00173870249234401	90	49	0.266989211680059	1
EC.1.1.1.108	Time_to_progression_grouped	1<2	-0.000192567146091074	0.0016392644304032	90	49	0.906770090090419	1
EC.1.1.1.108	Time_to_progression_grouped	2<3	0.000618828443531449	0.0016392644304032	90	49	0.706762884074641	1
EC.1.1.1.108	Time_to_progression_grouped	3<4	0.000431588664022002	0.00156947620244878	90	49	0.784008068058379	1
EC.1.1.1.108	Time_to_progression_grouped	4<6	0.0013917843229703	0.0016392644304032	90	49	0.398306892272362	1
EC.1.1.1.108	Time_to_progression_grouped	NP	0.000627344342107294	0.00120646595383318	90	49	0.604458092663718	1
EC.1.1.1.11	Time_to_progression_grouped	>6	0.0018234248602519	0.00149950804779863	90	47	0.227426195840292	1
EC.1.1.1.11	Time_to_progression_grouped	1<2	-0.000243680594082202	0.00141374974538962	90	47	0.863570398273262	1
EC.1.1.1.11	Time_to_progression_grouped	2<3	0.00017625805482177	0.00141374974538962	90	47	0.901082979603424	1
EC.1.1.1.11	Time_to_progression_grouped	3<4	0.000342503343084623	0.00135356232981964	90	47	0.800864149937016	1
EC.1.1.1.11	Time_to_progression_grouped	4<6	0.000602305127773767	0.00141374974538962	90	47	0.671186047186312	1
EC.1.1.1.11	Time_to_progression_grouped	NP	0.000263044776359731	0.00104049163967608	90	47	0.801041526327554	1
EC.1.1.1.122	Time_to_progression_grouped	>6	0.00314638573951287	0.00254577976915117	90	56	0.219973932954401	1
EC.1.1.1.122	Time_to_progression_grouped	1<2	-4.32136479284889e-05	0.00240018418423243	90	56	0.985678629126762	1
EC.1.1.1.122	Time_to_progression_grouped	2<3	0.000552901492993843	0.00240018418423243	90	56	0.818380461446878	1
EC.1.1.1.122	Time_to_progression_grouped	3<4	0.00157159556566455	0.00229800140159216	90	56	0.495945373817528	1
EC.1.1.1.122	Time_to_progression_grouped	4<6	0.00125424882356546	0.00240018418423243	90	56	0.602670069049664	1
EC.1.1.1.122	Time_to_progression_grouped	NP	0.00124760564930728	0.00176648772919025	90	56	0.482002197164022	1
EC.1.1.1.125	Time_to_progression_grouped	>6	0.00535698618938114	0.00242637204240219	90	66	0.0300159442761196	1
EC.1.1.1.125	Time_to_progression_grouped	1<2	-3.40918296854775e-05	0.00228760549981872	90	66	0.988145455092911	1
EC.1.1.1.125	Time_to_progression_grouped	2<3	0.00180878968674238	0.00228760549981872	90	66	0.431377676404562	1
EC.1.1.1.125	Time_to_progression_grouped	3<4	0.000235379468582674	0.00219021551737893	90	66	0.914676562353848	1
EC.1.1.1.125	Time_to_progression_grouped	4<6	0.000725183433493262	0.00228760549981872	90	66	0.752035466969122	1
EC.1.1.1.125	Time_to_progression_grouped	NP	0.000992465950533416	0.00168363206090794	90	66	0.557141121745013	1
EC.1.1.1.130	Time_to_progression_grouped	>6	-0.0036280540471253	0.00301771109756542	90	63	0.232684064112032	1
EC.1.1.1.130	Time_to_progression_grouped	1<2	-0.00265043025755509	0.00284512530766721	90	63	0.354261196819403	1
EC.1.1.1.130	Time_to_progression_grouped	2<3	-0.00434589223951803	0.00284512530766721	90	63	0.130441979214456	1
EC.1.1.1.130	Time_to_progression_grouped	3<4	-0.00329493033485464	0.00272400009452418	90	63	0.229869281211351	1
EC.1.1.1.130	Time_to_progression_grouped	4<6	0.00147088635058505	0.00284512530766721	90	63	0.606541748438318	1
EC.1.1.1.130	Time_to_progression_grouped	NP	-0.00444290543594911	0.00209395552933785	90	63	0.0368383147709387	1
EC.1.1.1.133	Time_to_progression_grouped	>6	4.16861164975094e-05	0.00299781390475934	90	90	0.98893874050451	1
EC.1.1.1.133	Time_to_progression_grouped	1<2	0.00131204259638251	0.00282636605438754	90	90	0.643708753123627	1
EC.1.1.1.133	Time_to_progression_grouped	2<3	0.00222795056042017	0.00282636605438754	90	90	0.432782148749947	1
EC.1.1.1.133	Time_to_progression_grouped	3<4	0.00221236803681949	0.00270603947691295	90	90	0.415945358635766	1
EC.1.1.1.133	Time_to_progression_grouped	4<6	0.00316820799852188	0.00282636605438754	90	90	0.265543035441879	1
EC.1.1.1.133	Time_to_progression_grouped	NP	0.00182341061883709	0.00208014909275477	90	90	0.383246524518073	1
EC.1.1.1.136	Time_to_progression_grouped	>6	-0.000744626782104632	0.00452220402607712	90	85	0.869614006109863	1
EC.1.1.1.136	Time_to_progression_grouped	1<2	0.00453443798461271	0.00426357484366432	90	85	0.290642968686632	1
EC.1.1.1.136	Time_to_progression_grouped	2<3	-0.00412613474043596	0.00426357484366432	90	85	0.3359889360699	1
EC.1.1.1.136	Time_to_progression_grouped	3<4	-0.00359038548538259	0.00408206213127221	90	85	0.381655280723296	1
EC.1.1.1.136	Time_to_progression_grouped	4<6	0.000366318620286825	0.00426357484366431	90	85	0.931739497088936	1
EC.1.1.1.136	Time_to_progression_grouped	NP	-0.00120575022405794	0.00311987744447847	90	85	0.700183488006248	1
EC.1.1.1.137	Time_to_progression_grouped	>6	-0.000383740985673525	0.00560311617856065	90	89	0.945562640380605	1
