ID	Assembled	Discarded	Unassembled
Min	68.542	0.000	20.376
Mean	75.238	0.001	24.883
Max	79.624	0.017	31.458
1035_S97_L001	73.711	0.000	26.289
1072_S109_L001	74.654	0.000	25.346
1133_S133_L001	73.937	0.000	26.063
1163_S145_L001	75.623	0.005	24.371
1167_S157_L001	74.968	0.007	25.025
1244_S169_L001	70.467	0.000	29.533
1314_S181_L001	75.600	0.000	24.400
1343_S98_L001	73.231	0.000	26.769
1347_S110_L001	74.272	0.000	25.728
1351_S122_L001	73.931	0.000	26.069
1365_S134_L001	74.280	0.002	25.718
1368_S146_L001	75.725	0.000	24.275
1380_S158_L001	79.204	0.000	20.796
1386_S170_L001	73.712	0.000	26.288
1431_S182_L001	76.722	0.002	23.276
1441_S99_L001	74.095	0.000	25.905
1457_S130_L001	78.607	0.000	21.393
1466_S111_L001	74.731	0.000	25.269
1488_S123_L001	75.797	0.000	24.203
1493_S135_L001	74.962	0.002	25.036
1496_S147_L001	76.749	0.000	23.251
1512_S142_L001	75.282	0.003	24.715
1552_S159_L001	77.046	0.000	22.954
1560_S171_L001	70.551	0.000	29.449
1574_S183_L001	74.192	0.000	25.808
1585_S100_L001	74.135	0.000	25.865
1607_S112_L001	75.519	0.000	24.481
1608_S154_L001	78.149	0.000	21.851
1630_S124_L001	73.659	0.003	26.337
1639_S136_L001	75.228	0.000	24.772
1650_S148_L001	75.313	0.000	24.687
1655_S160_L001	74.696	0.002	25.302
1661_S172_L001	74.133	0.000	25.867
1667_S184_L001	73.249	0.002	26.750
1730_S101_L001	78.941	0.000	21.059
1758_S113_L001	79.544	0.000	20.456
1774_S125_L001	79.207	0.000	20.793
1799_S166_L001	78.342	0.000	21.658
1806_S137_L001	77.038	0.000	22.962
1818_S149_L001	75.427	0.002	24.571
1822_S161_L001	76.685	0.003	23.311
1825_S173_L001	76.912	0.000	23.088
1864_S178_L001	76.062	0.000	23.938
1871_S185_L001	74.725	0.000	25.275
1876_S102_L001	72.401	0.000	27.599
1913_S114_L001	72.955	0.002	27.043
1972_S126_L001	76.419	0.000	23.581
1973_S138_L001	74.131	0.000	25.869
2024_S150_L001	79.624	0.000	20.376
2028_S162_L001	78.501	0.003	21.496
2074_S174_L001	72.137	0.000	27.863
2088_S186_L001	74.544	0.001	25.454
2104_S103_L001	73.879	0.000	26.121
2108_S190_L001	79.344	0.003	20.653
2118_S115_L001	77.084	0.000	22.916
2137_S107_L001	77.196	0.000	22.804
3003_S127_L001	77.840	0.000	22.160
3011_S139_L001	74.613	0.000	25.387
3012_S119_L001	74.406	0.003	25.591
3021_S151_L001	77.742	0.000	22.258
3022_S163_L001	76.288	0.000	23.712
3024_S175_L001	75.310	0.000	24.690
3031_S187_L001	73.674	0.000	26.326
3036_S104_L001	73.879	0.000	26.121
3040_S116_L001	76.505	0.000	23.495
3046_S131_L001	75.351	0.000	24.649
3048_S128_L001	73.540	0.000	26.460
3049_S140_L001	75.149	0.000	24.851
3052_S143_L001	72.755	0.000	27.245
3053_S152_L001	76.252	0.017	23.731
3059_S164_L001	76.230	0.000	23.770
3060_S176_L001	73.499	0.000	26.501
3063_S188_L001	75.186	0.000	24.814
3068_S105_L001	72.250	0.000	27.750
3073_S117_L001	74.292	0.000	25.708
3080_S129_L001	75.307	0.000	24.693
3086_S141_L001	74.676	0.000	25.324
3087_S153_L001	74.558	0.000	25.442
3090_S165_L001	76.470	0.000	23.530
3128_S177_L001	73.331	0.000	26.669
3162_S189_L001	75.723	0.000	24.277
3173_S155_L001	76.021	0.000	23.979
3191_S106_L001	75.733	0.000	24.267
3201_S167_L001	75.188	0.000	24.812
3213_S179_L001	71.883	0.000	28.117
3217_S132_L001	68.542	0.000	31.458
3222_S191_L001	73.461	0.000	26.539
8223_S108_L001	73.616	0.000	26.384
8288_S118_L001	76.325	0.000	23.675
8876_S120_L001	74.230	0.000	25.770
