sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
1035	26221	15738	60.02	11603	11603	44.25
1072	26482	16572	62.58	13155	13116	49.53
1133	25774	14821	57.5	14646	14423	55.96
1163	28851	18173	62.99	14989	13287	46.05
1167	30323	19203	63.33	16589	16496	54.4
1244	27919	14865	53.24	10033	9952	35.65
1314	22271	14281	64.12	12308	11684	52.46
1343	22209	12951	58.31	11937	11937	53.75
1347	15183	9423	62.06	8899	8742	57.58
1351	21248	13414	63.13	11706	11567	54.44
1365	38177	22730	59.54	19859	19364	50.72
1368	34526	22570	65.37	18799	17900	51.84
1380	40466	19806	48.94	18013	17716	43.78
1386	25345	15560	61.39	12566	12409	48.96
1431	39294	25136	63.97	19071	18020	45.86
1441	19153	11696	61.07	10671	10671	55.71
1457	28065	18617	66.34	15319	12915	46.02
1466	23072	14337	62.14	12058	11210	48.59
1488	17347	10869	62.66	6598	6461	37.25
1493	41486	25959	62.57	22335	18091	43.61
1496	34438	22328	64.84	15726	13585	39.45
1512	26587	17335	65.2	15904	14164	53.27
1552	28673	17884	62.37	13687	12502	43.6
1560	33089	17815	53.84	10456	9946	30.06
1574	33928	21246	62.62	17214	15646	46.12
1585	27701	17390	62.78	16591	15251	55.06
1607	17833	11145	62.5	8802	8802	49.36
1608	30953	20280	65.52	11080	10620	34.31
1630	21189	12727	60.06	9760	9730	45.92
1639	44283	28156	63.58	24702	20132	45.46
1650	56785	34599	60.93	27575	24180	42.58
1655	36170	20627	57.03	18900	18433	50.96
1661	34326	20837	60.7	17866	15586	45.41
1667	40020	23865	59.63	21450	17476	43.67
1730	33931	22888	67.45	18595	17222	50.76
1758	41437	28561	68.93	27493	27177	65.59
1774	40875	27938	68.35	24137	22952	56.15
1799	43428	28950	66.66	24450	18070	41.61
1806	42558	27856	65.45	23886	22265	52.32
1818	48779	31422	64.42	27364	26996	55.34
1822	45004	28937	64.3	22360	21712	48.24
1825	43745	28565	65.3	25333	24312	55.58
1864	29504	19751	66.94	16872	14504	49.16
1871	46205	29198	63.19	26296	25268	54.69
1876	22637	13002	57.44	11273	11273	49.8
1913	34626	20043	57.88	17472	17472	50.46
1972	43391	26993	62.21	23593	20379	46.97
1973	43756	27265	62.31	21171	19519	44.61
2024	77632	52267	67.33	43663	36549	47.08
2028	50885	30088	59.13	29892	27321	53.69
2074	30331	17745	58.5	15688	15384	50.72
2088	51507	31120	60.42	30482	29715	57.69
2104	24318	14916	61.34	13002	12397	50.98
2108	26128	17646	67.54	10963	10167	38.91
2118	30001	19484	64.94	16543	15240	50.8
2137	19451	12849	66.06	8198	7829	40.25
3003	42733	28076	65.7	22786	20475	47.91
3011	36028	22337	62	18727	18641	51.74
3012	25582	15566	60.85	12759	12548	49.05
3021	43898	28021	63.83	20138	17351	39.53
3022	38288	24439	63.83	17522	16452	42.97
3024	52936	33713	63.69	27605	24751	46.76
3031	27930	16993	60.84	15249	14565	52.15
3036	18372	10984	59.79	7486	7447	40.53
3040	23591	14835	62.88	10911	10654	45.16
3046	28375	18073	63.69	14597	14166	49.92
3048	30568	18288	59.83	14989	13632	44.6
3049	31868	20311	63.73	15362	13612	42.71
3052	24798	15457	62.33	12831	12317	49.67
3053	31118	17604	56.57	17377	17217	55.33
3059	36657	23659	64.54	15362	15141	41.3
3060	26549	15786	59.46	12084	11529	43.43
3063	58042	36925	63.62	33639	32729	56.39
3068	18894	10983	58.13	9121	9121	48.27
3073	17994	10929	60.74	8777	8615	47.88
3080	23128	14503	62.71	11898	11436	49.45
3086	27620	17467	63.24	12976	12571	45.51
3087	28746	17890	62.23	15231	13990	48.67
3090	26948	17355	64.4	13676	13138	48.75
3128	25071	15657	62.45	13334	12324	49.16
3162	22780	14438	63.38	12315	12162	53.39
3173	28480	18388	64.56	13742	11612	40.77
3191	28086	18076	64.36	16929	16671	59.36
3201	34366	21072	61.32	15897	14511	42.22
3213	15870	9042	56.98	8023	7922	49.92
3217	24591	12766	51.91	11579	11579	47.09
3222	20456	12587	61.53	10843	10820	52.89
8223	16983	10218	60.17	9075	9075	53.44
8288	23434	15079	64.35	12122	11550	49.29
8876	20843	12647	60.68	11961	11961	57.39
